iter	RMSE
759	19444.6216
760	19437.83646
761	19429.58625
762	19423.57413
763	19413.09601
764	19403.28749
765	19397.52959
766	19392.2688
767	19382.81325
768	19373.1646
769	19368.51656
770	19361.76523
771	19346.04124
772	19337.72045
773	19333.12939
774	19327.31531
775	19321.82161
776	19315.2657
777	19309.65678
778	19306.22751
779	19298.98628
780	19289.28986
781	19282.12463
782	19274.75864
783	19268.79056
784	19260.20809
785	19251.89861
786	19244.99588
787	19234.97855
788	19230.92178
789	19219.13401
790	19212.48286
791	19203.36173
792	19195.59055
793	19190.09529
794	19177.29596
795	19170.02127
796	19162.75542
797	19155.87483
798	19148.69683
799	19129.56817
800	19122.26872
801	19117.13824
802	19113.16828
803	19104.08866
804	19098.68646
805	19080.57831
806	19073.56433
807	19058.04292
808	19053.88785
809	19047.83781
810	19037.21688
811	19028.11913
812	19023.46361
813	19014.90017
814	19011.33339
815	19007.81361
816	19001.71897
817	18996.38726
818	18988.60394
819	18981.99643
820	18971.09229
821	18961.31197
822	18953.3596
823	18946.37471
824	18941.74026
825	18931.25276
826	18927.42893
827	18922.23491
828	18918.60203
829	18913.41676
830	18907.41266
831	18900.42169
832	18888.53834
833	18877.37623
834	18870.31998
835	18865.6892
836	18857.20741
837	18850.56748
838	18845.62482
839	18839.88069
840	18831.40282
841	18824.10433
842	18814.87671
843	18808.91419
844	18792.18842
845	18788.20419
846	18776.05294
847	18767.10619
848	18761.98017
849	18755.00999
850	18751.08607
851	18744.03095
852	18736.36804
853	18728.12605
854	18724.71869
855	18718.50109
856	18714.86633
857	18706.64072
858	18700.06227
859	18688.42204
860	18682.61275
861	18676.94052
862	18672.81606
863	18665.73735
864	18658.97774
865	18654.11344
866	18647.19972
867	18638.92773
868	18629.45319
869	18621.60193
870	18613.58665
871	18595.4166
872	18589.06719
873	18583.3293
874	18577.2659
875	18569.63331
876	18562.81306
877	18555.997
878	18552.47033
879	18546.59996
880	18541.31616
881	18534.6675
882	18531.92314
883	18526.632
884	18519.39584
885	18512.18091
886	18506.86173
887	18502.54565
888	18496.22663
889	18492.10605
890	18486.06166
891	18480.11157
892	18473.32667
893	18468.84427
894	18465.03294
895	18458.04494
896	18454.5719
897	18448.47699
898	18440.81983
899	18435.58259
900	18432.45861
901	18427.80019
902	18421.30617
903	18415.07058
904	18404.1346
905	18398.0557
906	18391.81335
907	18388.55397
908	18385.17482
909	18382.58118
910	18369.03338
911	18356.64103
912	18350.923
913	18346.61117
914	18342.21662
915	18334.74442
916	18329.54283
917	18325.78249
918	18320.71741
919	18317.1174
920	18304.97143
921	18300.58239
922	18294.03922
923	18287.57408
924	18278.79921
925	18267.82561
926	18259.45911
927	18256.36701
928	18247.30989
929	18240.51702
930	18234.07899
931	18228.28294
932	18222.37645
933	18217.23087
934	18211.02774
935	18204.02361
936	18197.54002
937	18188.80241
938	18186.15477
939	18177.28615
940	18172.22475
941	18166.42413
942	18155.79615
943	18151.46832
944	18143.70942
945	18139.23614
946	18129.81028
947	18122.35498
948	18118.64917
949	18114.74105
950	18111.59634
951	18106.97063
952	18098.44374
953	18091.87435
954	18084.87777
955	18081.05896
956	18075.8177
957	18070.28684
958	18062.55907
959	18060.38785
960	18056.41766
961	18046.30863
962	18037.84708
963	18034.18018
964	18024.36643
965	18017.75442
966	18012.16234
967	18003.62459
968	18000.62857
969	17989.48345
970	17983.54016
971	17977.14831
972	17971.48955
973	17966.90643
974	17963.21421
975	17953.73158
976	17946.48972
977	17941.65797
978	17936.65876
979	17926.34592
980	17919.50009
981	17916.4669
982	17909.83768
983	17900.50831
984	17894.2542
985	17883.44704
986	17878.23753
987	17873.25461
988	17865.68352
989	17859.42929
990	17852.86439
991	17846.63655
992	17843.42876
993	17833.85892
994	17827.10333
995	17817.5975
996	17813.41893
997	17807.12961
998	17800.61293
999	17796.58807
